Xgeometry,Ygeometry,Zgeometry,Navn,Reduceret areal (ha),Bassinvolumen (m3),Udledningstype,Bygværkstype,Godkendelse myndighed,Ejer,Idriftsat,Nedlagt,Vandmængde (m3),Antal overløb,COD (kg),BI-5 (kg),Total-N (kg),Total-P (kg)
720048.2482,6189498.7166,NaN,Afledning til Lyngby-Taarnbæks ledningsnet,0.732106699849033,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0
719549.8694,6189979.5087,NaN,D020000,3.60730753874775,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,687,4,124,20,7,1
717504.8174,6190440.8248,NaN,BAE0704,0.242474165127464,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,211,3,38,6,2,0
717275.9457,6190436.4957,NaN,UC11000,1.88548119651588,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,4119,16,741,124,49,7
716038.2527,6190137.1366,NaN,UA14000,5.68144768952504,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1901,7,342,57,22,3
716980.7939,6189801.195,NaN,UA25000,0.388999277690859,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,2377,16,428,71,29,4
718560.4587,6191086.8633,NaN,UC30400,32.1304524491833,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,24664,20,4439,739,296,49
717918.1733,6190751.8915,NaN,BAE0163,4.71900102799233,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,951,13,171,29,11,1
723089.9998,6190139.0037,NaN,Rå R2,1.39,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
716805.9998,6185858.0037,NaN,U24a,1.6,0,Overløbsbygværk uden bassin,OV,GLADSAXE KOMMUNE,NOVAFOS A/S (CVR 31884993),1900-01-01T00:00:00.0000000,Aktivt,14,1,3,0,0,0
714775.4757,6190880.7853,NaN,UA03,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,48,5,8,1,0,0
716838.2315,6189221.8029,NaN,A210014,2.24420889136652,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,739,2,133,22,8,1
717284.7028,6190434.0862,NaN,UC04000,0.22383025630638,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,32427,21,5837,973,389,64
715869.5757,6189624.8209,NaN,UA15000,7.93097212260513,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,92423,30,16636,2773,1109,185
717774.0772,6190650.3422,NaN,BAE0352,2.90313276529981,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,370,4,67,11,4,0
721667.9998,6189779.0037,NaN,Lu R23,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
716805.9985,6190566.9991,NaN,A100000,0.827051599286106,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1109,14,200,33,13,2
718224.49,6190872.227,NaN,UC22000,2.90559429568731,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,2113,15,380,63,25,4
725084.9998,6189111.0037,NaN,Ta R8,2.14,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,17,3,3,1,0,0
717646.2089,6190527.3972,NaN,BAE0534,1.03338268349926,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,132,3,23,3,1,0
718976.9998,6186827.0037,NaN,Ly R39,0.91,20,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
719175.9998,6187597.0038,NaN,Ly R3F,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),2021-01-01T00:00:00.0000000,Aktivt,159,11,29,5,2,0
717315.8721,6190372.9086,NaN,BAE0921O,11.699268437263,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
717609.8282,6190505.5616,NaN,BAE0581,2.64901210373112,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,3750,22,675,112,44,7
715029.2004,6190961.5088,NaN,A02A002,1.60217218210735,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1469,10,264,43,17,2
716857.065,6190412.9505,NaN,UA09000,2.57620663249351,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,3855,21,694,115,45,7
721671.9458,6189761.973,NaN,OMLU103O,19.9678864095235,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
725287.9998,6188628.0037,NaN,Ta R5F,0.61,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
725843.2998,6185708.8337,NaN,U5a,0,0,Overløbsbygværk uden bassin,OV,GENTOFTE KOMMUNE,NOVAFOS A/S (CVR 31884993),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
