X,Y,ogc_fid,objectid,vandfoering,beregningspunktlokalid,registreringfra,registreringtil,aar
705580,6190940,"1491","1695",0.0139294334980723,Novana_Model_MOELLEAA_DK1_-11928.0,2020/11/13 13:09:44,,"1990"
706015.395436647,6190952.73384037,"1492","1696",0.0207165186484791,Novana_Model_MOELLEAA_DK1_-11474.666666666666,2020/11/13 13:09:44,,"1990"
706468.191343939,6190940.0,"1493","1697",0.0290790845040385,Novana_Model_MOELLEAA_DK1_-11021.333333333334,2020/11/13 13:09:44,,"1990"
706918.242455493,6190888.39485388,"1494","1698",0.0350645794035637,Novana_Model_MOELLEAA_DK1_-10568.0,2020/11/13 13:09:44,,"1990"
707249.877163695,6190780.06141815,"1495","1699",0.040156714097686,Novana_Model_MOELLEAA_DK1_-10214.0,2020/11/13 13:09:44,,"1990"
707529.522780367,6190570.47721963,"1496","1700",0.0447316119728023,Novana_Model_MOELLEAA_DK1_-9860.0,2020/11/13 13:09:44,,"1990"
707832.551505239,6190392.36133134,"1497","1701",0.0470501784847615,Novana_Model_MOELLEAA_DK1_-9506.0,2020/11/13 13:09:44,,"1990"
708083.216907919,6190256.97426753,"1498","1702",0.052009477583717,Novana_Model_MOELLEAA_DK1_-9218.5,2020/11/13 13:09:44,,"1990"
708360,6190260,"1499","1703",0.0547754008425017,Novana_Model_MOELLEAA_DK1_-8931.0,2020/11/13 13:09:44,,"1990"
708360,6190260,"1500","1704",0.081765049042767,Novana_Model_MOELLEAA_DK1_-8931.0_Downstream,2020/11/13 13:09:44,,"1990"
708675.220446371,6190008.56146743,"1501","1705",0.0872550778601268,Novana_Model_MOELLEAA_DK1_-8536.25,2020/11/13 13:09:44,,"1990"
708903.055714447,6189703.33142663,"1502","1706",0.0912941186089222,Novana_Model_MOELLEAA_DK1_-8141.5,2020/11/13 13:09:44,,"1990"
708969.884898994,6189292.14625419,"1503","1707",0.0938710241897465,Novana_Model_MOELLEAA_DK1_-7746.75,2020/11/13 13:09:44,,"1990"
709314.879479311,6189082.46495194,"1504","1708",0.0957123969413646,Novana_Model_MOELLEAA_DK1_-7352.0,2020/11/13 13:09:44,,"1990"
709505.24458651,6189092.2507131,"1505","1709",0.0962988331301572,Novana_Model_MOELLEAA_DK1_-7168.0,2020/11/13 13:09:44,,"1990"
709506.293674364,6189092.39059148,"1506","1710",0.096766669088847,Novana_Model_MOELLEAA_DK1_-7167.0,2020/11/13 13:09:44,,"1990"
709590.034279346,6189104.83664803,"1507","1711",0.096766669088847,Novana_Model_MOELLEAA_DK1_-7087.0,2020/11/13 13:09:44,,"1990"
709673.592713291,6189118.50984631,"1508","1712",0.0976965034252977,Novana_Model_MOELLEAA_DK1_-7007.0,2020/11/13 13:09:44,,"1990"
709773.100589632,6189132.6035377,"1509","1713",0.0976965034252977,Novana_Model_MOELLEAA_DK1_-6912.0,2020/11/13 13:09:44,,"1990"
709873.146942069,6189142.60817294,"1510","1714",0.0989107491831257,Novana_Model_MOELLEAA_DK1_-6817.0,2020/11/13 13:09:44,,"1990"
710004.432272464,6189158.10899493,"1511","1715",0.0989107491831257,Novana_Model_MOELLEAA_DK1_-6692.0,2020/11/13 13:09:44,,"1990"
710134.051344252,6189184.59031067,"1512","1716",0.104050519674608,Novana_Model_MOELLEAA_DK1_-6567.0,2020/11/13 13:09:44,,"1990"
710268.85517891,6189212.13087904,"1513","1717",0.104050519674608,Novana_Model_MOELLEAA_DK1_-6437.0,2020/11/13 13:09:44,,"1990"
710401.813573025,6189247.21539694,"1514","1718",0.104011776104365,Novana_Model_MOELLEAA_DK1_-6307.0,2020/11/13 13:09:44,,"1990"
710543.842291472,6189289.37980948,"1515","1719",0.104011776104365,Novana_Model_MOELLEAA_DK1_-6167.0,2020/11/13 13:09:44,,"1990"
710684.924454424,6189334.66544203,"1516","1720",0.106229693075157,Novana_Model_MOELLEAA_DK1_-6027.0,2020/11/13 13:09:44,,"1990"
710838.529436497,6189384.22282441,"1517","1721",0.106229693075157,Novana_Model_MOELLEAA_DK1_-5874.5,2020/11/13 13:09:44,,"1990"
710992.014385038,6189434.15166309,"1518","1722",0.109061121797725,Novana_Model_MOELLEAA_DK1_-5722.0,2020/11/13 13:09:44,,"1990"
711147.11885722,6189487.50864656,"1519","1723",0.109061121797725,Novana_Model_MOELLEAA_DK1_-5567.0,2020/11/13 13:09:44,,"1990"
711301.302198865,6189543.53536711,"1520","1724",0.111743758955639,Novana_Model_MOELLEAA_DK1_-5412.0,2020/11/13 13:09:44,,"1990"
711410.544967622,6189583.78270296,"1521","1725",0.111743758955639,Novana_Model_MOELLEAA_DK1_-5302.0,2020/11/13 13:09:44,,"1990"
711520.638380111,6189621.54200012,"1522","1726",0.114823698609659,Novana_Model_MOELLEAA_DK1_-5192.0,2020/11/13 13:09:44,,"1990"
711622.317527707,6189625.21158675,"1523","1727",0.114823698609659,Novana_Model_MOELLEAA_DK1_-5084.5,2020/11/13 13:09:44,,"1990"
711706.010054278,6189548.13818471,"1524","1728",0.118373352544357,Novana_Model_MOELLEAA_DK1_-4977.0,2020/11/13 13:09:44,,"1990"
711774.131878231,6189485.40402025,"1525","1729",0.118373352544357,Novana_Model_MOELLEAA_DK1_-4889.5,2020/11/13 13:09:44,,"1990"
711864.197051829,6189488.55133519,"1526","1730",0.120648771646905,Novana_Model_MOELLEAA_DK1_-4802.0,2020/11/13 13:09:44,,"1990"
711903.682873837,6189492.56164781,"1527","1731",0.120648771646905,Novana_Model_MOELLEAA_DK1_-4764.5,2020/11/13 13:09:44,,"1990"
711943.168695844,6189496.57196042,"1528","1732",0.123725492599076,Novana_Model_MOELLEAA_DK1_-4727.0,2020/11/13 13:09:44,,"1990"
712117.429928555,6189553.07556974,"1529","1733",0.123725492599076,Novana_Model_MOELLEAA_DK1_-4542.0,2020/11/13 13:09:44,,"1990"
712191.299070316,6189649.80896967,"1530","1734",0.12602533766464,Novana_Model_MOELLEAA_DK1_-4427.0,2020/11/13 13:09:44,,"1990"
712238.379725366,6189700.35643637,"1531","1735",0.12602533766464,Novana_Model_MOELLEAA_DK1_-4358.0,2020/11/13 13:09:44,,"1990"
712239.41419315,6189700.13276766,"1532","1736",0.127827918784667,Novana_Model_MOELLEAA_DK1_-4357.0,2020/11/13 13:09:44,,"1990"
712353.205649322,6189675.52920956,"1533","1737",0.127827918784667,Novana_Model_MOELLEAA_DK1_-4247.0,2020/11/13 13:09:44,,"1990"
712467.761116967,6189654.79375488,"1534","1738",0.131322077978147,Novana_Model_MOELLEAA_DK1_-4137.0,2020/11/13 13:09:44,,"1990"
712637.05731102,6189624.49864647,"1535","1739",0.131322077978147,Novana_Model_MOELLEAA_DK1_-3974.5,2020/11/13 13:09:44,,"1990"
