X,Y,ogc_fid,objectid,qpunktnummer,vandloebsstrengnummer,navn,nedstroemsstationering,stationering,straekningsnavn,topoid,id_lokalid,registreringfra,registreringtil
705580,6190940,"1150","1397","0","169",Novana_Model_MOELLEAA_DK1_-11928.0,,-11928,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-11928.0,2020/11/10 13:33:47,
706015.395436647,6190952.73384037,"1151","1398","1","169",Novana_Model_MOELLEAA_DK1_-11474.666666666666,,-11474.6666666667,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-11474.666666666666,2020/11/10 13:33:47,
706468.191343939,6190940.0,"1152","1399","2","169",Novana_Model_MOELLEAA_DK1_-11021.333333333334,,-11021.3333333333,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-11021.333333333334,2020/11/10 13:33:47,
706918.242455493,6190888.39485388,"1153","1400","3","169",Novana_Model_MOELLEAA_DK1_-10568.0,,-10568,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-10568.0,2020/11/10 13:33:47,
707249.877163695,6190780.06141815,"1154","1401","4","169",Novana_Model_MOELLEAA_DK1_-10214.0,,-10214,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-10214.0,2020/11/10 13:33:47,
707529.522780367,6190570.47721963,"1155","1402","5","169",Novana_Model_MOELLEAA_DK1_-9860.0,,-9860,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-9860.0,2020/11/10 13:33:47,
707832.551505239,6190392.36133134,"1156","1403","6","169",Novana_Model_MOELLEAA_DK1_-9506.0,,-9506,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-9506.0,2020/11/10 13:33:47,
708083.216907919,6190256.97426753,"1157","1404","7","169",Novana_Model_MOELLEAA_DK1_-9218.5,,-9218.5,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-9218.5,2020/11/10 13:33:47,
708360,6190260,"1158","1405","8","169",Novana_Model_MOELLEAA_DK1_-8931.0,,-8931,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-8931.0,2020/11/10 13:33:47,
708360,6190260,"1159","1406","0","170",Novana_Model_MOELLEAA_DK1_-8931.0_Downstream,Downstream,-8931,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-8931.0_Downstream,2020/11/10 13:33:47,
708675.220446371,6190008.56146743,"1160","1407","1","170",Novana_Model_MOELLEAA_DK1_-8536.25,,-8536.25,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-8536.25,2020/11/10 13:33:47,
708903.055714447,6189703.33142663,"1161","1408","2","170",Novana_Model_MOELLEAA_DK1_-8141.5,,-8141.5,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-8141.5,2020/11/10 13:33:47,
708969.884898994,6189292.14625419,"1162","1409","3","170",Novana_Model_MOELLEAA_DK1_-7746.75,,-7746.75,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-7746.75,2020/11/10 13:33:47,
709314.879479311,6189082.46495194,"1163","1410","4","170",Novana_Model_MOELLEAA_DK1_-7352.0,,-7352,MOELLEAA_DK1,Novana_Model,Novana_Model_MOELLEAA_DK1_-7352.0,2020/11/10 13:33:47,
